0_Transfer Time (s)_s,0_Bandwidth (GB/s)_GB/s
6.656e-05,3.667978037
6.656e-05,3.667978037
6.656e-05,3.667978037
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.8608e-05,3.55848615
6.656e-05,3.667978037
6.656e-05,3.667978037
6.3488e-05,3.845461076
6.5536e-05,3.725290404
6.5536e-05,3.725290404
6.5536e-05,3.725290404
6.7584e-05,3.612402804
6.7584e-05,3.612402804
6.656e-05,3.667978037
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.656e-05,3.667978037
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.7584e-05,3.612402804
6.656e-05,3.667978037
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.7584e-05,3.612402804
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.5536e-05,3.725290404
6.5536e-05,3.725290404
6.7584e-05,3.612402804
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.7584e-05,3.612402804
6.5536e-05,3.725290404
6.7584e-05,3.612402804
6.7584e-05,3.612402804
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.656e-05,3.667978037
6.4512e-05,3.784421791
6.656e-05,3.667978037
6.656e-05,3.667978037
6.656e-05,3.667978037
6.656e-05,3.667978037
6.7584e-05,3.612402804
6.4512e-05,3.784421791
6.656e-05,3.667978037
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.656e-05,3.667978037
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.5536e-05,3.725290404
6.4512e-05,3.784421791
6.656e-05,3.667978037
6.656e-05,3.667978037
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.7584e-05,3.612402804
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.4512e-05,3.784421791
6.5536e-05,3.725290404
6.656e-05,3.667978037
6.656e-05,3.667978037
6.656e-05,3.667978037
6.7584e-05,3.612402804
6.656e-05,3.667978037
6.5536e-05,3.725290404
6.5536e-05,3.725290404
6.656e-05,3.667978037
