0_Transfer Time (s)_s,0_Bandwidth (GB/s)_GB/s
1.9456e-05,4.7868e-05
2.048e-05,4.5475e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
2.048e-05,4.5475e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
2.048e-05,4.5475e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
2.048e-05,4.5475e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
2.2528e-05,4.1341e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.8432e-05,5.0527e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.8432e-05,5.0527e-05
1.8432e-05,5.0527e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.9456e-05,4.7868e-05
1.8432e-05,5.0527e-05
