0_Transfer Time (s)_s,0_Bandwidth (GB/s)_GB/s
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.4032e-05,0.000169208
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.5056e-05,0.000165363
4.4032e-05,0.000169208
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.9152e-05,0.000151582
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.4032e-05,0.000169208
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.7104e-05,0.000158173
4.5056e-05,0.000165363
5.0176e-05,0.000148489
4.8128e-05,0.000154808
4.7104e-05,0.000158173
4.7104e-05,0.000158173
4.7104e-05,0.000158173
4.7104e-05,0.000158173
4.7104e-05,0.000158173
4.7104e-05,0.000158173
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.4032e-05,0.000169208
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.9152e-05,0.000151582
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.4032e-05,0.000169208
4.7104e-05,0.000158173
4.5056e-05,0.000165363
4.7104e-05,0.000158173
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.4032e-05,0.000169208
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.7104e-05,0.000158173
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.4032e-05,0.000169208
4.608e-05,0.000161688
4.4032e-05,0.000169208
4.5056e-05,0.000165363
4.9152e-05,0.000151582
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
5.12e-05,0.000145519
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.4032e-05,0.000169208
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.5056e-05,0.000165363
4.4032e-05,0.000169208
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.7104e-05,0.000158173
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.608e-05,0.000161688
4.5056e-05,0.000165363
